year,owner_occupied_k,private_rented_k,prp_rented_k,local_authority_k,other_public_k,all_dwellings_k
1999,14408,2086,1146,3178,110,20927
2000,14600,2089,1273,3012,101,21075
2001,14735,2133,1424,2812,103,21207
2002,14846,2197,1492,2706,112,21354
2003,14752,2549,1651,2457,104,21513
2004,14986,2578,1702,2335,83,21684
2005,15100,2720,1802,2166,82,21870
2006,15052,2987,1865,2087,82,22073
2007,15093,3182,1951,1987,75,22288
2008,15067,3443,2056,1870,74,22511
2009,14968,3705,2128,1820,74,22694
2010,14895,3912,2180,1786,66,22839
2011,14827,4105,2255,1726,63,22976
2012,14754,4286,2304,1693,75,23111
2013,14685,4465,2331,1682,73,23236
2014,14674,4623,2343,1669,64,23372
2015,14684,4773,2387,1643,55,23543
2016,14801,4832,2430,1612,57,23733
2017,15050,4798,2444,1602,56,23950
2018,15311,4773,2452,1592,43,24172
2019,15544,4762,2479,1587,42,24414
2020,15723,4813,2505,1583,33,24657
2021,15858,4876,2524,1581,34,24873
2022,16124,4885,2542,1576,34,25160
2023,16250,4950,2500,1578,34,25312
