Year,old_stock_england,old_stock_wales,new_build_england,new_build_wales,total_transactions,cash_transactions_wales,cash_transactions_england,cash_transactions_ (blank),total_cash_transactions,avg_house_price_gbp_england_wales,stock_turnover_ PCT,Month,old_stock_england_m,old_stock_wales_m,new_build_england_m,new_build_wales_m,cash_transactions_wales_m,cash_transactions_england_m,mb_building_societies_gbp,mb_banks_gbp,mb_bs_plus_banks_gbp,mb_specialist_lenders_gbp,mb_others_gbp,mb_total_outstanding_gbp,sales_per_outlet_pm,sales_per_outlet_pw,
1998,883908,38990,106829,5201,1034928,nul,nul,nul,nul,63000,7.18,,,,,,nul,nul,,,,,,,,,
,,,,,,,,,,,,01/01/1999,54747,2348,5242,228,nul,nul,106747,313771,nul,27346,2297,450161,nul,nul,
,,,,,,,,,,,,01/02/1999,55339,2385,6825,336,nul,nul,107165,313636,nul,28529,2296,451626,,,
,,,,,,,,,,,,01/03/1999,74680,3080,9267,402,nul,nul,108440,314914,nul,29722,2295,455371,,,
,,,,,,,,,,,,01/04/1999,80173,3250,9082,409,nul,nul,106257,319422,nul,30296,2292,458267,,,
,,,,,,,,,,,,01/05/1999,79544,3367,9551,473,nul,nul,107338,320935,nul,30503,2288,461064,,,
,,,,,,,,,,,,01/06/1999,88769,3515,12075,507,nul,nul,108537,323053,nul,30678,2284,464552,,,
,,,,,,,,,,,,01/07/1999,109070,4430,10582,529,nul,nul,109856,325447,nul,31067,2236,468605,,,
,,,,,,,,,,,,01/08/1999,98880,4120,9418,456,nul,nul,110808,327594,nul,31407,2188,471997,,,
,,,,,,,,,,,,01/09/1999,93022,3851,9423,430,nul,nul,111658,330337,nul,31772,2139,475906,,,
,,,,,,,,,,,,01/10/1999,97297,4256,10098,526,nul,nul,112353,331242,nul,33791,1921,479307,,,
,,,,,,,,,,,,01/11/1999,93770,4147,10132,560,nul,nul,112966,333773,nul,34129,1704,482572,,,
,,,,,,,,,,,,01/12/1999,89756,4126,12686,630,nul,nul,113497,335449,nul,34692,1488,485126,,,
1999,1015047,42875,114381,5486,1177789,nul,nul,nul,nul,71122,8.07,,,,,,,,,,,,,,,,
,,,,,,,,,,,,01/01/2000,62354,2732,5677,331,nul,nul,113848,337459,nul,35307,1786,488399,nul,nul,
,,,,,,,,,,,,01/02/2000,64662,2975,7702,438,nul,nul,114076,338957,nul,35570,1815,490419,,,
,,,,,,,,,,,,01/03/2000,85416,4181,10938,564,nul,nul,115028,340693,nul,36510,1843,494073,,,
,,,,,,,,,,,,01/04/2000,80121,3927,8586,501,nul,nul,115710,342859,nul,36813,1849,497230,,,
