date,tx_existing_england,tx_existing_wales,tx_newbuild_england,tx_newbuild_wales,cash_transactions_wales,cash_transactions_england,mb_bs_gbp_m,mb_banks_gbp_m,mb_bs_plus_banks_gbp_m,mb_specialist_gbp_m,mb_other_gbp_m,mb_total_reported_gbp_m,mb_bs_plus_banks_spliced_gbp_m,mb_total_gbp_m,mb_regime_is_combined,banks_share_of_mb,avg_house_price_gbp,turnover_pct_raw,tx_total,geo
1999-01-01,54747.0,2348.0,5242.0,228.0,,,0.106747,0.313771,,0.027346,0.002297,0.450161,0.420518,0.420518,0,0.7461535534745243,71122.0,,62565.0,EW
1999-02-01,55339.0,2385.0,6825.0,336.0,,,0.107165,0.313636,,0.028529,0.002296,0.451626,0.42080100000000004,0.42080100000000004,0,0.7453309283960827,71122.0,,64885.0,EW
1999-03-01,74680.0,3080.0,9267.0,402.0,,,0.10844,0.314914,,0.029722,0.002295,0.455371,0.423354,0.423354,0,0.7438550244003836,71122.0,,87429.0,EW
1999-04-01,80173.0,3250.0,9082.0,409.0,,,0.106257,0.319422,,0.030296,0.002292,0.458267,0.425679,0.425679,0,0.7503823303475153,71122.0,,92914.0,EW
1999-05-01,79544.0,3367.0,9551.0,473.0,,,0.107338,0.320935,,0.030503,0.002288,0.461064,0.428273,0.428273,0,0.7493701447441236,71122.0,,92935.0,EW
1999-06-01,88769.0,3515.0,12075.0,507.0,,,0.108537,0.323053,,0.030678,0.002284,0.464552,0.43159,0.43159,0,0.7485182696540699,71122.0,,104866.0,EW
1999-07-01,109070.0,4430.0,10582.0,529.0,,,0.109856,0.325447,,0.031067,0.002236,0.468605,0.435303,0.435303,0,0.7476332577537944,71122.0,,124611.0,EW
1999-08-01,98880.0,4120.0,9418.0,456.0,,,0.110808,0.327594,,0.031407,0.002188,0.471997,0.438402,0.438402,0,0.7472456786237289,71122.0,,112874.0,EW
1999-09-01,93022.0,3851.0,9423.0,430.0,,,0.111658,0.330337,,0.031772,0.002139,0.475906,0.44199499999999997,0.44199499999999997,0,0.7473772327741265,71122.0,,106726.0,EW
1999-10-01,97297.0,4256.0,10098.0,526.0,,,0.112353,0.331242,,0.033791,0.001921,0.479307,0.44359499999999996,0.44359499999999996,0,0.7467216717952186,71122.0,,112177.0,EW
1999-11-01,93770.0,4147.0,10132.0,560.0,,,0.112966,0.333773,,0.034129,0.001704,0.482572,0.446739,0.446739,0,0.747131994296446,71122.0,,108609.0,EW
1999-12-01,89756.0,4126.0,12686.0,630.0,,,0.113497,0.335449,,0.034692,0.001488,0.485126,0.448946,0.448946,0,0.7471923126612109,71122.0,,107198.0,EW
2000-01-01,62354.0,2732.0,5677.0,331.0,,,0.113848,0.337459,,0.035307,0.001786,0.488399,0.451307,0.451307,0,0.7477371279417336,80366.0,,71094.0,EW
2000-02-01,64662.0,2975.0,7702.0,438.0,,,0.114076,0.338957,,0.03557,0.001815,0.490419,0.453033,0.453033,0,0.748194943856187,80366.0,,75777.0,EW
2000-03-01,85416.0,4181.0,10938.0,564.0,,,0.115028,0.340693,,0.03651,0.001843,0.494073,0.45572100000000004,0.45572100000000004,0,0.7475911796910829,80366.0,,101099.0,EW
2000-04-01,80121.0,3927.0,8586.0,501.0,,,0.11571,0.342859,,0.036813,0.001849,0.49723,0.458569,0.458569,0,0.7476715608774253,80366.0,,93135.0,EW
2000-05-01,82698.0,3883.0,9611.0,507.0,,,0.116414,0.344146,,0.037965,0.001855,0.50038,0.46056,0.46056,0,0.7472338023276012,80366.0,,96699.0,EW
2000-06-01,92121.0,4582.0,13310.0,726.0,,,0.117186,0.347576,,0.038457,0.001862,0.505081,0.464762,0.464762,0,0.7478580434717124,80366.0,,110739.0,EW
2000-07-01,87289.0,4354.0,8111.0,454.0,,,0.117879,0.347571,,0.041071,0.001877,0.508398,0.46545000000000003,0.46545000000000003,0,0.7467418627135031,80366.0,,100208.0,EW
2000-08-01,85626.0,4413.0,8720.0,475.0,,,0.118875,0.350003,,0.041661,0.001892,0.512432,0.468878,0.468878,0,0.7464692308020423,80366.0,,99234.0,EW
2000-09-01,79174.0,4220.0,8974.0,523.0,,,0.119719,0.350678,,0.043386,0.001907,0.51569,0.470397,0.470397,0,0.7454937000023384,80366.0,,92891.0,EW
2000-10-01,75100.0,3846.0,7999.0,391.0,,,0.120541,0.351999,,0.044127,0.001917,0.518584,0.47254,0.47254,0,0.7449083675456046,80366.0,,87336.0,EW
2000-11-01,74839.0,3811.0,8470.0,476.0,,,0.121636,0.351686,,0.04738,0.001927,0.522629,0.473322,0.473322,0,0.7430163820823878,80366.0,,87596.0,EW
2000-12-01,78379.0,4026.0,12444.0,747.0,,,,,,,,,,,0,,80366.0,,95596.0,EW
2001-01-01,59858.0,2779.0,5012.0,214.0,,,0.10778,0.377025,,0.041468,0.001959,0.528232,0.484805,0.484805,0,0.7776838110168006,88799.0,,67863.0,EW
2001-02-01,60612.0,2996.0,6522.0,337.0,,,0.108502,0.377622,,0.04284,0.001999,0.530964,0.486124,0.486124,0,0.7768018036550346,88799.0,,70467.0,EW
2001-03-01,80282.0,3988.0,9944.0,534.0,,,0.109259,0.37905,,0.044338,0.00204,0.534687,0.488309,0.488309,0,0.7762502841438516,88799.0,,94748.0,EW
2001-04-01,80485.0,3822.0,8071.0,394.0,,,0.109896,0.381934,,0.044469,0.002047,0.538346,0.49183,0.49183,0,0.7765569404062379,88799.0,,92772.0,EW
2001-05-01,90311.0,4170.0,9167.0,488.0,,,0.110378,0.383307,,0.047179,0.002055,0.54292,0.49368500000000004,0.49368500000000004,0,0.7764201869613214,88799.0,,104136.0,EW
2001-06-01,99150.0,4912.0,14297.0,900.0,,,0.110846,0.387554,,0.047825,0.002062,0.548286,0.4984,0.4984,0,0.7775963081861959,88799.0,,119259.0,EW
2001-07-01,104766.0,5133.0,8434.0,516.0,,,0.111148,0.389143,,0.050938,0.002052,0.553281,0.500291,0.500291,0,0.777833301018807,88799.0,,118849.0,EW
2001-08-01,114812.0,5687.0,10037.0,553.0,,,0.111609,0.393928,,0.051573,0.002042,0.559151,0.505537,0.505537,0,0.779226841952221,88799.0,,131089.0,EW
2001-09-01,89735.0,4451.0,8561.0,464.0,,,0.111918,0.396499,,0.053411,0.002032,0.56386,0.508417,0.508417,0,0.779869673909409,88799.0,,103211.0,EW
2001-10-01,97048.0,4962.0,8585.0,522.0,,,0.112266,0.400171,,0.053795,0.002041,0.568273,0.512437,0.512437,0,0.7809174591218042,88799.0,,111117.0,EW
2001-11-01,99302.0,5358.0,9847.0,622.0,,,0.112946,0.401805,,0.056982,0.002049,0.573782,0.5147510000000001,0.5147510000000001,0,0.7805812907599985,88799.0,,115129.0,EW
2001-12-01,80705.0,4278.0,12624.0,675.0,,,0.113413,0.404539,,0.057234,0.002058,0.577244,0.517952,0.517952,0,0.7810356944272828,88799.0,,98282.0,EW
2002-01-01,66703.0,3393.0,4975.0,259.0,,,0.113926,0.408315,,0.057575,0.002141,0.581957,0.522241,0.522241,0,0.7818516738440682,106407.0,,75330.0,EW
2002-02-01,70267.0,3776.0,6864.0,407.0,,,0.114353,0.411394,,0.058189,0.002225,0.586162,0.525747,0.525747,0,0.782494241526818,106407.0,,81314.0,EW
2002-03-01,91947.0,5060.0,10881.0,657.0,,,0.114965,0.413112,,0.061161,0.002308,0.591546,0.528077,0.528077,0,0.7822950062206837,106407.0,,108545.0,EW
2002-04-01,91026.0,4665.0,8612.0,411.0,,,0.115922,0.417409,,0.061181,0.002282,0.596794,0.533331,0.533331,0,0.7826452990731834,106407.0,,104714.0,EW
2002-05-01,120424.0,6202.0,11739.0,674.0,,,0.116917,0.423463,,0.061927,0.002257,0.604564,0.54038,0.54038,0,0.7836392908693882,106407.0,,139039.0,EW
2002-06-01,91171.0,4803.0,13114.0,709.0,,,0.117944,0.424851,,0.065731,0.002231,0.610757,0.5427949999999999,0.5427949999999999,0,0.782709862839562,106407.0,,109797.0,EW
2002-07-01,116789.0,5813.0,9686.0,553.0,,,0.119039,0.430303,,0.070605,0.002169,0.622116,0.549342,0.549342,0,0.7833062099748426,106407.0,,132841.0,EW
2002-08-01,115962.0,5823.0,10398.0,637.0,,,0.120155,0.436434,,0.07133,0.002108,0.630027,0.556589,0.556589,0,0.7841225751856397,106407.0,,132820.0,EW
2002-09-01,94627.0,4843.0,9427.0,484.0,,,0.12106,0.438921,,0.075212,0.002046,0.637239,0.5599810000000001,0.5599810000000001,0,0.7838140936924645,106407.0,,109381.0,EW
2002-10-01,96659.0,4879.0,9466.0,451.0,,,0.121881,0.445155,,0.076242,0.002064,0.645341,0.567036,0.567036,0,0.7850559752819928,106407.0,,111455.0,EW
2002-11-01,100194.0,5569.0,10656.0,567.0,,,0.122699,0.44783,,0.080588,0.002081,0.653198,0.5705290000000001,0.5705290000000001,0,0.784938188943945,106407.0,,116986.0,EW
2002-12-01,88387.0,4787.0,13683.0,674.0,,,0.123638,0.451619,,0.081834,0.002099,0.65919,0.575257,0.575257,0,0.7850734541257212,106407.0,,107531.0,EW
2003-01-01,74493.0,3700.0,5433.0,275.0,,,0.125001,0.453777,,0.085875,0.002161,0.666814,0.578778,0.578778,0,0.7840259996060666,127246.0,,83901.0,EW
2003-02-01,68624.0,3584.0,7033.0,409.0,,,0.12601,0.45726,,0.086728,0.002223,0.672221,0.58327,0.58327,0,0.7839594013064276,127246.0,,79650.0,EW
2003-03-01,71552.0,4049.0,8560.0,470.0,,,0.127,0.454521,,0.095128,0.002285,0.678934,0.581521,0.581521,0,0.7816071990521409,127246.0,,84631.0,EW
2003-04-01,75182.0,4282.0,7715.0,428.0,,,0.128097,0.458894,,0.095466,0.002309,0.684766,0.586991,0.586991,0,0.7817734854537803,127246.0,,87607.0,EW
2003-05-01,82655.0,4581.0,9158.0,592.0,,,0.129614,0.461871,,0.098771,0.002332,0.692588,0.591485,0.591485,0,0.7808668013559091,127246.0,,96986.0,EW
2003-06-01,81111.0,4844.0,13396.0,707.0,,,0.131696,0.465346,,0.101981,0.002356,0.70138,0.597042,0.597042,0,0.7794192033391286,127246.0,,100058.0,EW
2003-07-01,95410.0,5135.0,8112.0,442.0,,,0.133195,0.47228,,0.103162,0.002378,0.711016,0.605475,0.605475,0,0.7800156901606177,127246.0,,109099.0,EW
2003-08-01,100583.0,5503.0,9412.0,433.0,,,0.134457,0.47762,,0.105345,0.002401,0.719824,0.612077,0.612077,0,0.7803266582472467,127246.0,,115931.0,EW
2003-09-01,97100.0,5076.0,9582.0,409.0,,,0.136395,0.480803,,0.109324,0.002423,0.728945,0.6171979999999999,0.6171979999999999,0,0.7790093292590061,127246.0,,112167.0,EW
2003-10-01,109063.0,5896.0,10735.0,533.0,,,0.138909,0.487627,,0.110781,0.002447,0.739764,0.626536,0.626536,0,0.7782904733327375,127246.0,,126227.0,EW
2003-11-01,101042.0,5561.0,11099.0,601.0,,,0.140946,0.488943,,0.116925,0.00247,0.749284,0.629889,0.629889,0,0.7762367655253545,127246.0,,118303.0,EW
2003-12-01,100373.0,5348.0,15732.0,725.0,,,0.142312,0.493195,,0.118737,0.002494,0.756738,0.635507,0.635507,0,0.776065409192975,127246.0,,122178.0,EW
2004-01-01,80838.0,3940.0,5859.0,351.0,,,0.14367,0.496309,,0.122906,0.002475,0.76536,0.639979,0.639979,0,0.7755082588647441,148658.0,,90988.0,EW
2004-02-01,79095.0,3776.0,7417.0,430.0,,,0.144886,0.500515,,0.124171,0.002455,0.772027,0.645401,0.645401,0,0.7755101092189198,148658.0,,90718.0,EW
2004-03-01,90471.0,4743.0,9871.0,513.0,,,0.146933,0.500772,,0.130994,0.002436,0.781135,0.647705,0.647705,0,0.7731482696597989,148658.0,,105598.0,EW
2004-04-01,104333.0,5363.0,9759.0,458.0,,,0.148359,0.503544,,0.135833,0.002458,0.790195,0.651903,0.651903,0,0.7724216639592086,148658.0,,119913.0,EW
