"Print","ImgCount","Directory"
"print_20260226_160410","2","C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260226_160410"
"print_20260226_203444","1","C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260226_203444"
"print_20260226_205052","5","C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260226_205052"
"print_20260228_105921","33","C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260228_105921\sources\raw_pdfs"
"print_20260228_105921","2","C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260228_105921\assets\branding"
"print_20260301_100031","5","C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260301_100031\figures"
"print_20260301_100417","9","C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260301_100417\outputs\figures"
"print_20260301_100417","6","C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260301_100417\figures"
"print_20260301_100417","3","C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260301_100417\outputs\draft_paper_assets"
"print_20260301_100417","3","C:\Users\peewe\OneDrive\Desktop\homeix\publication\print_20260301_100417\outputs\fair_assets"
