year,owner_occupied_k,private_rented_k,prp_rented_k,local_authority_k,other_public_k,all_dwellings_k
1999,14408.0,2086.0,1146.0,3178.0,110.0,20927.0
2000,14600.0,2089.0,1273.0,3012.0,101.0,21075.0
2001,14735.0,2133.0,1424.0,2812.0,103.0,21207.0
2002,14846.0,2197.0,1492.0,2706.0,112.0,21354.0
2003,14752.0,2549.0,1651.0,2457.0,104.0,21513.0
2004,14986.0,2578.0,1702.0,2335.0,83.0,21684.0
2005,15100.0,2720.0,1802.0,2166.0,82.0,21870.0
2006,15052.0,2987.0,1865.0,2087.0,82.0,22073.0
2007,15093.0,3182.0,1951.0,1987.0,75.0,22288.0
2008,15067.0,3443.0,2056.0,1870.0,74.0,22511.0
2009,14968.0,3705.0,2128.0,1820.0,74.0,22694.0
2010,14895.0,3912.0,2180.0,1786.0,66.0,22839.0
2011,14827.0,4105.0,2255.0,1726.0,63.0,22976.0
2012,14754.0,4286.0,2304.0,1693.0,75.0,23111.0
2013,14685.0,4465.0,2331.0,1682.0,73.0,23236.0
2014,14674.0,4623.0,2343.0,1669.0,64.0,23372.0
2015,14684.0,4773.0,2387.0,1643.0,55.0,23543.0
2016,14801.0,4832.0,2430.0,1612.0,57.0,23733.0
2017,15050.0,4798.0,2444.0,1602.0,56.0,23950.0
2018,15311.0,4773.0,2452.0,1592.0,43.0,24172.0
2019,15544.0,4762.0,2479.0,1587.0,42.0,24414.0
2020,15723.0,4813.0,2505.0,1583.0,33.0,24657.0
2021,15858.0,4876.0,2524.0,1581.0,34.0,24873.0
2022,16124.0,4885.0,2542.0,1576.0,34.0,25160.0
2023,16250.0,4950.0,2500.0,1578.0,34.0,25312.0
