Name,quarter,new_build,existing,cash,mortgage,total_transactions,cash_share,cash_share_pct,total_stockmix_check
England,1968-06-30,,,,,,,,
Wales,1968-06-30,,,,,,,,
England,1968-09-30,,,,,,,,
Wales,1968-09-30,,,,,,,,
England,1968-12-31,,,,,,,,
Wales,1968-12-31,,,,,,,,
England,1969-03-31,,,,,,,,
Wales,1969-03-31,,,,,,,,
England,1969-06-30,,,,,,,,
Wales,1969-06-30,,,,,,,,
England,1969-09-30,,,,,,,,
Wales,1969-09-30,,,,,,,,
England,1969-12-31,,,,,,,,
Wales,1969-12-31,,,,,,,,
England,1970-03-31,,,,,,,,
Wales,1970-03-31,,,,,,,,
England,1970-06-30,,,,,,,,
Wales,1970-06-30,,,,,,,,
England,1970-09-30,,,,,,,,
Wales,1970-09-30,,,,,,,,
England,1970-12-31,,,,,,,,
Wales,1970-12-31,,,,,,,,
England,1971-03-31,,,,,,,,
Wales,1971-03-31,,,,,,,,
England,1971-06-30,,,,,,,,
Wales,1971-06-30,,,,,,,,
England,1971-09-30,,,,,,,,
Wales,1971-09-30,,,,,,,,
England,1971-12-31,,,,,,,,
Wales,1971-12-31,,,,,,,,
England,1972-03-31,,,,,,,,
Wales,1972-03-31,,,,,,,,
England,1972-06-30,,,,,,,,
Wales,1972-06-30,,,,,,,,
England,1972-09-30,,,,,,,,
Wales,1972-09-30,,,,,,,,
England,1972-12-31,,,,,,,,
Wales,1972-12-31,,,,,,,,
England,1973-03-31,,,,,,,,
Wales,1973-03-31,,,,,,,,
England,1973-06-30,,,,,,,,
Wales,1973-06-30,,,,,,,,
England,1973-09-30,,,,,,,,
Wales,1973-09-30,,,,,,,,
England,1973-12-31,,,,,,,,
Wales,1973-12-31,,,,,,,,
England,1974-03-31,,,,,,,,
Wales,1974-03-31,,,,,,,,
England,1974-06-30,,,,,,,,
Wales,1974-06-30,,,,,,,,
England,1974-09-30,,,,,,,,
Wales,1974-09-30,,,,,,,,
England,1974-12-31,,,,,,,,
Wales,1974-12-31,,,,,,,,
England,1975-03-31,,,,,,,,
Wales,1975-03-31,,,,,,,,
England,1975-06-30,,,,,,,,
Wales,1975-06-30,,,,,,,,
England,1975-09-30,,,,,,,,
Wales,1975-09-30,,,,,,,,
England,1975-12-31,,,,,,,,
Wales,1975-12-31,,,,,,,,
England,1976-03-31,,,,,,,,
Wales,1976-03-31,,,,,,,,
England,1976-06-30,,,,,,,,
Wales,1976-06-30,,,,,,,,
England,1976-09-30,,,,,,,,
Wales,1976-09-30,,,,,,,,
England,1976-12-31,,,,,,,,
Wales,1976-12-31,,,,,,,,
England,1977-03-31,,,,,,,,
Wales,1977-03-31,,,,,,,,
England,1977-06-30,,,,,,,,
Wales,1977-06-30,,,,,,,,
England,1977-09-30,,,,,,,,
Wales,1977-09-30,,,,,,,,
England,1977-12-31,,,,,,,,
Wales,1977-12-31,,,,,,,,
England,1978-03-31,,,,,,,,
Wales,1978-03-31,,,,,,,,
England,1978-06-30,,,,,,,,
Wales,1978-06-30,,,,,,,,
England,1978-09-30,,,,,,,,
Wales,1978-09-30,,,,,,,,
England,1978-12-31,,,,,,,,
Wales,1978-12-31,,,,,,,,
England,1979-03-31,,,,,,,,
Wales,1979-03-31,,,,,,,,
England,1979-06-30,,,,,,,,
Wales,1979-06-30,,,,,,,,
England,1979-09-30,,,,,,,,
Wales,1979-09-30,,,,,,,,
England,1979-12-31,,,,,,,,
Wales,1979-12-31,,,,,,,,
England,1980-03-31,,,,,,,,
Wales,1980-03-31,,,,,,,,
England,1980-06-30,,,,,,,,
Wales,1980-06-30,,,,,,,,
