geo,period,tx_existing_wales,tx_existing_england,tx_newbuild_wales,tx_newbuild_england,tx_total,mb_bs_gbp_m,mb_banks_gbp_m,mb_bs_plus_banks_gbp_m,mb_specialist_gbp_m,mb_other_gbp_m,mb_total_gbp_m,avg_house_price_gbp,months_with_tx,tx_newbuild_total,newbuild_share_of_transactions,all_dwellings_n,turnover_pct_q
EW,1999Q1,7813.0,184766.0,966.0,21334.0,214879.0,108440.0,314914.0,,29722.0,2295.0,455371.0,,3,22300.0,0.10377933627762602,20927000.0,0.010268026950829073
EW,1999Q2,10132.0,248486.0,1389.0,30708.0,290715.0,108537.0,323053.0,,30678.0,2284.0,464552.0,,3,32097.0,0.11040709973685568,20927000.0,0.01389186218760453
EW,1999Q3,12401.0,300972.0,1415.0,29423.0,344211.0,111658.0,330337.0,,31772.0,2139.0,475906.0,,3,30838.0,0.08959039658813925,20927000.0,0.016448176996224972
EW,1999Q4,12529.0,280823.0,1716.0,32916.0,327984.0,113497.0,335449.0,,34692.0,1488.0,485126.0,,3,34632.0,0.10559051661056637,20927000.0,0.015672767238495724
EW,2000Q1,9888.0,212432.0,1333.0,24317.0,247970.0,115028.0,340693.0,,36510.0,1843.0,494073.0,,3,25650.0,0.10343993224986893,21075000.0,0.011766073546856465
EW,2000Q2,12392.0,254940.0,1734.0,31507.0,300573.0,117186.0,347576.0,,38457.0,1862.0,505081.0,,3,33241.0,0.1105921024177155,21075000.0,0.014262064056939501
EW,2000Q3,12987.0,252089.0,1452.0,25805.0,292333.0,119719.0,350678.0,,43386.0,1907.0,515690.0,,3,27257.0,0.09323955899607639,21075000.0,0.013871079478054568
EW,2000Q4,11683.0,228318.0,1614.0,28913.0,270528.0,121636.0,351686.0,,47380.0,1927.0,522629.0,,3,30527.0,0.11284229358883369,21075000.0,0.01283644128113879
EW,2001Q1,9763.0,200752.0,1085.0,21478.0,233078.0,109259.0,379050.0,,44338.0,2040.0,534687.0,,3,22563.0,0.09680450321351651,21207000.0,0.010990616305936719
EW,2001Q2,12904.0,269946.0,1782.0,31535.0,316167.0,110846.0,387554.0,,47825.0,2062.0,548286.0,,3,33317.0,0.10537785410874632,21207000.0,0.014908615079926439
EW,2001Q3,15271.0,309313.0,1533.0,27032.0,353149.0,111918.0,396499.0,,53411.0,2032.0,563860.0,,3,28565.0,0.08088653797688794,21207000.0,0.016652473239967935
EW,2001Q4,14598.0,277055.0,1819.0,31056.0,324528.0,113413.0,404539.0,,57234.0,2058.0,577244.0,,3,32875.0,0.10130096632648031,21207000.0,0.015302871693308812
EW,2002Q1,12229.0,228917.0,1323.0,22720.0,265189.0,114965.0,413112.0,,61161.0,2308.0,591546.0,,3,24043.0,0.09066363989456576,21354000.0,0.012418703755736631
EW,2002Q2,15670.0,302621.0,1794.0,33465.0,353550.0,117944.0,424851.0,,65731.0,2231.0,610757.0,,3,35259.0,0.09972846839202376,21354000.0,0.016556617027254847
EW,2002Q3,16479.0,327378.0,1674.0,29511.0,375042.0,121060.0,438921.0,,75212.0,2046.0,637239.0,,3,31185.0,0.08315068712304222,21354000.0,0.01756307951671818
