geo,period,tx_existing_wales,tx_existing_england,tx_newbuild_wales,tx_newbuild_england,tx_total,mb_bs_gbp_m,mb_banks_gbp_m,mb_bs_plus_banks_gbp_m,mb_bs_plus_banks_spliced_gbp_m,mb_specialist_gbp_m,mb_other_gbp_m,mb_total_gbp_m,avg_house_price_gbp,months_with_tx,tx_newbuild_total,newbuild_share_of_transactions,all_dwellings_n,turnover_pct_q,gP_yoy,gTO_yoy,volP_8q,volTO_8q,gMB_yoy,W,volW_8q,calm,p,dNB_yoy,is_baseline,zW,zTO,zNB,fair_wedge_contrib,fair_turn_contrib,fair_nb_contrib,FAIR,dFAIR
EW,1999Q1,7813.0,184766.0,966.0,21334.0,214879.0,108440.0,314914.0,,423354.0,29722.0,2295.0,423354.0,71122.0,3,22300.0,0.103779336277626,20927000.0,0.010268026950829,,,,,,,,False,1999Q1,,False,,,,,,,,
EW,1999Q2,10132.0,248486.0,1389.0,30708.0,290715.0,108537.0,323053.0,,431590.0,30678.0,2284.0,431590.0,71122.0,3,32097.0,0.1104070997368556,20927000.0,0.0138918621876045,,,,,,,,False,1999Q2,,False,,,,,,,,
EW,1999Q3,12401.0,300972.0,1415.0,29423.0,344211.0,111658.0,330337.0,,441995.0,31772.0,2139.0,441995.0,71122.0,3,30838.0,0.0895903965881392,20927000.0,0.0164481769962249,,,,,,,,False,1999Q3,,False,,,,,,,,
EW,1999Q4,12529.0,280823.0,1716.0,32916.0,327984.0,113497.0,335449.0,,448946.0,34692.0,1488.0,448946.0,71122.0,3,34632.0,0.1055905166105663,20927000.0,0.0156727672384957,,,,,,,,False,1999Q4,,False,,,,,,,,
EW,2000Q1,9888.0,212432.0,1333.0,24317.0,247970.0,115028.0,340693.0,,455721.0,36510.0,1843.0,455721.0,80366.0,3,25650.0,0.1034399322498689,21075000.0,0.0117660735468564,0.1299738477545626,0.1458942991872898,,,0.0852759958678355,0.0446978518867271,,False,2000Q1,-0.0032704393758035133,False,1.015036946998318,0.6827789556801287,-0.15266983547147167,55.8270320849075,-23.897263448804505,-1.5266983547147168,30.403070281388278,
EW,2000Q2,12392.0,254940.0,1734.0,31507.0,300573.0,117186.0,347576.0,,464762.0,38457.0,1862.0,464762.0,80366.0,3,33241.0,0.1105921024177155,21075000.0,0.0142620640569395,0.1299738477545626,0.0266488296770843,,,0.0858511882868711,0.0441226594676915,,False,2000Q2,0.0016756411616720701,False,1.0000514570652481,0.012024635736731728,-0.12018894069108133,55.002830138588656,-0.42086225078561046,-1.2018894069108133,53.38007848089223,22.977008199503953
EW,2000Q3,12987.0,252089.0,1452.0,25805.0,292333.0,119719.0,350678.0,,470397.0,43386.0,1907.0,470397.0,80366.0,3,27257.0,0.0932395589960763,21075000.0,0.0138710794780545,0.1299738477545626,-0.1566798265097634,,,0.0847238420114817,0.0452500057430809,,False,2000Q3,0.04073162467081004,False,1.0294222131841428,-1.0191968321465552,0.1362915758094516,56.61822172512786,35.67188912512943,1.362915758094516,93.65302660835181,40.27294812745958
EW,2000Q4,11683.0,228318.0,1614.0,28913.0,270528.0,121636.0,351686.0,,473322.0,47380.0,1927.0,473322.0,80366.0,3,30527.0,0.1128422935888336,21075000.0,0.0128364412811387,0.1299738477545626,-0.1809716123640483,,,0.0793463049540257,0.0506275428005369,,False,2000Q4,0.0686782981185039,False,1.169523203343802,-1.1558378329982228,0.3198172893191164,64.32377618390912,40.4543241549378,3.1981728931911637,107.97627323203808,14.323246623686273
EW,2001Q1,9763.0,200752.0,1085.0,21478.0,233078.0,109259.0,379050.0,,488309.0,44338.0,2040.0,488309.0,88799.0,3,22563.0,0.0968045032135165,21207000.0,0.0109906163059367,0.1049324341139288,-0.0659062037842593,,,0.0821459293321773,0.0227865047817514,,False,2001Q1,-0.06414765450854998,False,0.44418055078199176,-0.5085963050981624,-0.5524503089732513,24.429930293009548,17.800870678435686,-5.524503089732513,36.70629788171272,-71.26997535032535
EW,2001Q2,12904.0,269946.0,1782.0,31535.0,316167.0,110846.0,387554.0,,498400.0,47825.0,2062.0,498400.0,88799.0,3,33317.0,0.1053778541087463,21207000.0,0.0149086150799264,0.1049324341139288,0.0453336221465299,,,0.0844225459525611,0.0205098881613676,,False,2001Q2,-0.04714846896819591,False,0.3848678506886522,0.11712636679288622,-0.44081671289550056,21.167731787875873,-4.099422837751018,-4.408167128955006,12.660141821169848,-24.046156060542874
EW,2001Q3,15271.0,309313.0,1533.0,27032.0,353149.0,111918.0,396499.0,,508417.0,53411.0,2032.0,508417.0,88799.0,3,28565.0,0.0808865379768879,21207000.0,0.0166524732399679,0.1049324341139288,0.200517469913849,,,0.0909665998490094,0.0139658342649193,,False,2001Q3,-0.1324869095499287,False,0.21437559359125227,0.9900336286193768,-1.0012339742514151,11.790657647518877,-34.651177001678185,-10.012339742514152,-32.87285909667346,-45.53300091784331
EW,2001Q4,14598.0,277055.0,1819.0,31056.0,324528.0,113413.0,404539.0,,517952.0,57234.0,2058.0,517952.0,88799.0,3,32875.0,0.1013009663264803,21207000.0,0.0153028716933088,0.1049324341139288,0.1921428500431941,0.0125207068203169,0.1402963088720154,0.1008307938273276,0.0041016402866012,0.0163510604772685,True,2001Q4,-0.10227838246895926,False,-0.042616283679622724,0.9429264934032684,-0.8028546752988079,-2.34389560237925,-33.00242726911439,-8.028546752988081,-43.37486962448172,-10.50201052780826
EW,2002Q1,12229.0,228917.0,1323.0,22720.0,265189.0,114965.0,413112.0,,528077.0,61161.0,2308.0,528077.0,106407.0,3,24043.0,0.0906636398945657,21354000.0,0.0124187037557366,0.1982905212896542,0.1299369762393127,0.0296830397119397,0.1386798405499086,0.1040113985781892,0.0942791227114649,0.0266275441937085,False,2002Q1,-0.06343571956984506,False,2.306777954396635,0.5930192076070876,-0.5477750345495234,126.87278749181492,-20.755672266248066,-5.477750345495234,100.63936488007161,144.01423450455331
EW,2002Q2,15670.0,302621.0,1794.0,33465.0,353550.0,117944.0,424851.0,,542795.0,65731.0,2231.0,542795.0,106407.0,3,35259.0,0.0997284683920237,21354000.0,0.0165566170272548,0.1982905212896542,0.1105402439122154,0.0382040390202426,0.1416332283512403,0.1120326322817559,0.0862578890078982,0.0312842862215334,False,2002Q2,-0.05361074928412013,False,2.0978007270591514,0.48391282348510833,-0.4832544866827533,115.37903998825334,-16.93694882197879,-4.832544866827533,93.60954629944702,-7.0298185806245925
EW,2002Q3,16479.0,327378.0,1674.0,29511.0,375042.0,121060.0,438921.0,,559981.0,75212.0,2046.0,559981.0,106407.0,3,31185.0,0.0831506871230422,21354000.0,0.0175630795167181,0.1982905212896542,0.0546829449072248,0.0434990270240521,0.1218659760356707,0.1271198573995462,0.0711706638901079,0.0327385629652806,False,2002Q3,0.027991668363915423,False,1.7047332028040851,0.16971619394556076,0.05262832423566799,93.7603261542247,-5.940066788094626,0.5262832423566799,88.34654260848676,-5.263003690960261
EW,2002Q4,15235.0,285240.0,1692.0,33805.0,335972.0,123638.0,451619.0,,575257.0,81834.0,2099.0,575257.0,106407.0,3,35497.0,0.1056546378864905,21354000.0,0.0157334457244544,0.1982905212896542,0.0281368124738228,0.0466790435878626,0.0836395358635788,0.138678612620609,0.0596119086690452,0.0330491080405164,False,2002Q4,0.042977591605383836,False,1.4035929160553933,0.020394520924096333,0.15104083335376173,77.19761038304664,-0.7138082323433717,1.5104083335376173,77.99421048424088,-10.352332124245876
EW,2003Q1,11333.0,214669.0,1154.0,21026.0,248182.0,127000.0,454521.0,,581521.0,95128.0,2285.0,581521.0,127246.0,3,22180.0,0.0893698978975107,21513000.0,0.0115363733556454,0.1958423787908689,-0.0710485101702843,0.0449664140330721,0.0848229801394205,0.1467915768058125,0.0490508019850564,0.0318029299257933,False,2003Q1,-0.014269689575220235,True,1.1284443698343831,-0.5375217161604551,-0.224901875706867,62.06444034089108,18.81326006561593,-2.24901875706867,78.62868164943835,0.6344711651974677
EW,2003Q2,13707.0,238948.0,1727.0,30269.0,284651.0,131696.0,465346.0,,597042.0,101981.0,2356.0,597042.0,127246.0,3,31996.0,0.1124043126495252,21513000.0,0.0132315809045693,0.1958423787908689,-0.200828231830933,0.0400843405574216,0.127837653680884,0.1471313906678109,0.048710988123058,0.0298567655115155,False,2003Q2,0.12710356893955188,True,1.1195911982007363,-1.2675310767046026,0.7034958525118691,61.5775159010405,44.363587684661084,7.034958525118691,112.97606211082028,34.34738046138193
EW,2003Q3,15714.0,293093.0,1284.0,27106.0,337197.0,136395.0,480803.0,,617198.0,109324.0,2423.0,617198.0,127246.0,3,28390.0,0.0841941061160093,21513000.0,0.0156741040301213,0.1958423787908689,-0.1075537740860711,0.0305493209591746,0.1247191394882367,0.1431171674124132,0.0527252113784557,0.0259555460559113,False,2003Q3,0.012548531215660352,True,1.224173769514379,-0.7428633829991453,-0.04878670711916397,67.32955732329086,26.000218404970088,-0.48786707119163975,92.8419086570693,-20.134153453750983
EW,2003Q4,16805.0,310478.0,1859.0,37566.0,366708.0,142312.0,493195.0,,635507.0,118737.0,2494.0,635507.0,127246.0,3,39425.0,0.10751060789511,21513000.0,0.0170458792358109,0.1958423787908689,0.0834167883082717,0.0012240712493927,0.1099418399787148,0.1471383424365679,0.0487040363543009,0.0169593453160159,False,2003Q4,0.017566384644784216,True,1.1194100837470702,0.33134371463035955,-0.015834479993081168,61.56755460608887,-11.597030012062584,-0.15834479993081169,49.81217979409548,-43.02972886297382
EW,2004Q1,12459.0,250404.0,1294.0,23147.0,287304.0,146933.0,500772.0,,647705.0,130994.0,2436.0,647705.0,148658.0,3,24441.0,0.0850701695764764,21684000.0,0.0132495849474266,0.1682724800779591,0.1485052138107883,0.0095324826867252,0.1127486686514604,0.1489383632751542,0.0193341168028049,0.0181974290788756,False,2004Q1,-0.04811159486794114,True,0.3542354757229405,0.6974653187755846,-0.44714155754226004,19.48295116476173,-24.411286157145458,-4.471415575422601,-9.39975056780633,-59.21193036190181
EW,2004Q2,15216.0,303908.0,1519.0,34178.0,354821.0,151380.0,512303.0,,663683.0,141697.0,2503.0,663683.0,148658.0,3,35697.0,0.1006056575005425,21684000.0,0.0163632632355653,0.1682724800779591,0.2366824005069967,0.0123320421860492,0.1332584798496115,0.152815607961384,0.015456872116575,0.0177858336138733,False,2004Q2,-0.104966214114673,True,0.25322160750999584,1.193460924645335,-0.8205056569620361,13.927188413049773,-41.77113236258672,-8.20505656962036,-36.0490005191573,-26.649249951350974
EW,2004Q3,13848.0,302377.0,1401.0,27596.0,345222.0,157087.0,511975.0,,669062.0,163469.0,2504.0,669062.0,148658.0,3,28997.0,0.0839952262602035,21684000.0,0.0159205866076369,0.1682724800779591,0.01572546520311,0.0136063024125195,0.1326673681037988,0.1481828052329283,0.0200896748450307,0.016586871128931,False,2004Q3,-0.0023621588847533292,True,0.37392003181394134,-0.04941915696524116,-0.146705160444983,20.565601749766778,1.7296704937834404,-1.46705160444983,20.82822063910039,56.8772211582577
EW,2004Q4,10035.0,218544.0,1556.0,32157.0,262292.0,160116.0,524349.0,,684465.0,171805.0,2502.0,684465.0,148658.0,3,33713.0,0.1285323227547923,21684000.0,0.0120961077292012,0.1682724800779591,-0.2903793602040165,0.0137849493564549,0.1666753995511492,0.1363099600763384,0.0319625200016207,0.014755280023301,False,2004Q4,0.19553154122420735,True,0.6832433046576422,-1.771255087845426,1.1528621236376824,37.57838175617032,61.99392807458991,11.528621236376823,111.10093106713705,90.27271042803666
EW,2005Q1,7544.0,156272.0,880.0,20558.0,185254.0,162384.0,521945.0,,684329.0,186697.0,2521.0,684329.0,156325.0,3,21438.0,0.1157221976313601,21870000.0,0.0084706904435299,0.0515747554790189,-0.3606825815947451,0.0443765966077051,0.2010513693598581,0.1235429295042271,-0.0719681740252082,0.037647005669512,False,2005Q1,0.36031464622070764,True,-2.0244633992786256,-2.166709855623689,2.234992237456874,-111.34548696032442,75.83484494682911,22.349922374568738,-13.160719638926576,-124.26165070606363
EW,2005Q2,10631.0,218610.0,1396.0,32379.0,263016.0,166163.0,526750.0,,692913.0,201289.0,2476.0,692913.0,156325.0,3,33775.0,0.1284142409587249,21870000.0,0.0120263374485596,0.0515747554790189,-0.265040397173313,0.0556608388025584,0.2077093017204134,0.1118837988864114,-0.0603090434073925,0.0441794883825589,False,2005Q2,0.2764117262295358,True,-1.720708031997245,-1.6287237280751852,1.6840020351437326,-94.63894175984848,57.00533048263148,16.840020351437328,-20.79359092577967,-7.632871286853096
EW,2005Q3,12087.0,259094.0,1285.0,28614.0,301080.0,170458.0,541129.0,,711587.0,206359.0,2453.0,711587.0,156325.0,3,29899.0,0.0993058323369204,21870000.0,0.0137668038408779,0.0515747554790189,-0.1352828774365548,0.0598043876143234,0.2085797220434662,0.1037209032239332,-0.0521461477449143,0.0442255775330044,False,2005Q3,0.1822794789466624,True,-1.5080400851910893,-0.8988392530836858,1.0658358738225495,-82.94220468550992,31.459373857929002,10.658358738225497,-40.824472089355424,-20.030881163575753
EW,2005Q4,11826.0,246527.0,1510.0,35778.0,295641.0,173205.0,552451.0,,725656.0,215662.0,2356.0,725656.0,156325.0,3,37288.0,0.1261259432893272,21870000.0,0.0135181069958847,0.0515747554790189,0.1175584161879323,0.0583488622994701,0.2120141404650565,0.1002202664750193,-0.0486455109960004,0.0407237366322356,False,2005Q4,-0.01872197914026552,True,-1.4168379847737385,0.5233899574288948,-0.2541400467795676,-77.92608916255563,-18.318648510011318,-2.541400467795676,-98.78613814036262,-57.9616660510072
EW,2006Q1,10354.0,221207.0,1104.0,26983.0,259648.0,175812.0,546597.0,,722409.0,239323.0,2362.0,722409.0,166470.0,3,28087.0,0.1081733731821543,22073000.0,0.011763149549223,0.0648968495122341,0.3886883988551313,0.0553666448071885,0.2533310759493625,0.1018668623959149,-0.0369700128836807,0.03841518029656,False,2006Q1,-0.06523229426780364,True,-1.1126561951056888,2.048492822025672,-0.5595731347396362,-61.19609073081289,-71.69724877089851,-5.595731347396363,-138.48907084910778,-39.70293270874515
